species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
accipiter_nisus,1024301,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1024301.mp3,1.0,4.0,-25.47208815660492,-26.80904878875767,species,Accipiter nisus,Eurasian Sparrowhawk,0.9824677109718323,0.9824677109718323,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/accipiter_nisus/XC1024301__s1000__e4000.wav,
accipiter_nisus,1024301,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1024301.mp3,4.0,7.0,-26.214005961067354,-26.80904878875767,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/accipiter_nisus/XC1024301__s4000__e7000.wav,
accipiter_nisus,1024301,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1024301.mp3,10.0,13.0,-24.86075977747836,-26.80904878875767,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/accipiter_nisus/XC1024301__s10000__e13000.wav,
accipiter_nisus,1024301,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1024301.mp3,13.0,16.0,-25.91395143694863,-26.80904878875767,non_bird,,,0.0,0.0,non_bird,0,,,
accipiter_nisus,1024301,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1024301.mp3,16.0,19.0,-26.38407464745128,-26.80904878875767,species,Accipiter nisus,Eurasian Sparrowhawk,0.984862744808197,0.984862744808197,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/accipiter_nisus/XC1024301__s16000__e19000.wav,
accipiter_nisus,1024300,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1024300.mp3,1.0,4.0,-25.152443657948638,-29.003292211433518,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/accipiter_nisus/XC1024300__s1000__e4000.wav,
accipiter_nisus,1024300,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1024300.mp3,4.0,7.0,-27.720845483218195,-29.003292211433518,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/accipiter_nisus/XC1024300__s4000__e7000.wav,
accipiter_nisus,1024300,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1024300.mp3,7.0,10.0,-26.79569745789668,-29.003292211433518,species,Accipiter nisus,Eurasian Sparrowhawk,0.9470922350883484,0.9470922350883484,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/accipiter_nisus/XC1024300__s7000__e10000.wav,
accipiter_nisus,1024300,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1024300.mp3,10.0,13.0,-24.72830392996082,-29.003292211433518,non_bird,,,0.0,0.0,non_bird,0,,,
accipiter_nisus,1024300,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1024300.mp3,13.0,16.0,-27.619101787263126,-29.003292211433518,drop,Asio otus,Long-eared Owl,0.8659995198249817,0.8659995198249817,drop,0,,,
accipiter_nisus,1024300,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1024300.mp3,16.0,19.0,-29.003292211433518,-29.003292211433518,non_bird,,,0.0,0.0,non_bird,0,,,
accipiter_nisus,1024300,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1024300.mp3,22.0,25.0,-28.663970826433214,-29.003292211433518,species,Accipiter nisus,Eurasian Sparrowhawk,0.9932655096054077,0.9932655096054077,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/accipiter_nisus/XC1024300__s22000__e25000.wav,
accipiter_nisus,1024300,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1024300.mp3,25.0,28.0,-28.909034565638535,-29.003292211433518,drop,Asio otus,Long-eared Owl,0.8190033435821533,0.8190033435821533,drop,0,,,
accipiter_nisus,1015208,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1015208.mp3,1.0,4.0,-26.328498431365325,-26.328498431365325,species,Accipiter nisus,Eurasian Sparrowhawk,0.8018024563789368,0.8018024563789368,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/accipiter_nisus/XC1015208__s1000__e4000.wav,
accipiter_nisus,1015207,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1015207.mp3,1.0,4.0,-25.991198470807486,-26.669046195607955,species,Accipiter nisus,Eurasian Sparrowhawk,0.9704800248146057,0.9704800248146057,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/accipiter_nisus/XC1015207__s1000__e4000.wav,
accipiter_nisus,1015207,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1015207.mp3,4.0,7.0,-26.567262314597365,-26.669046195607955,species,Accipiter nisus,Eurasian Sparrowhawk,0.9784512519836426,0.9784512519836426,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/accipiter_nisus/XC1015207__s4000__e7000.wav,
accipiter_nisus,1015205,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1015205.mp3,1.0,4.0,-25.88305961454042,-26.257678500131533,species,Accipiter nisus,Eurasian Sparrowhawk,0.8269893527030945,0.8269893527030945,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/accipiter_nisus/XC1015205__s1000__e4000.wav,
accipiter_nisus,1015205,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1015205.mp3,7.0,10.0,-25.334095015469526,-26.257678500131533,species,Accipiter nisus,Eurasian Sparrowhawk,0.9751636981964111,0.9751636981964111,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/accipiter_nisus/XC1015205__s7000__e10000.wav,
accipiter_nisus,1015205,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1015205.mp3,10.0,13.0,-26.126098696216317,-26.257678500131533,species,Accipiter nisus,Eurasian Sparrowhawk,0.931050717830658,0.931050717830658,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/accipiter_nisus/XC1015205__s10000__e13000.wav,
accipiter_nisus,1015205,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1015205.mp3,13.0,16.0,-25.36741072609274,-26.257678500131533,species,Accipiter nisus,Eurasian Sparrowhawk,0.9438064098358154,0.9438064098358154,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/accipiter_nisus/XC1015205__s13000__e16000.wav,
accipiter_nisus,1015205,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1015205.mp3,16.0,19.0,-25.95902806236945,-26.257678500131533,species,Accipiter nisus,Eurasian Sparrowhawk,0.9383314251899719,0.9383314251899719,species,0,,,
accipiter_nisus,1015205,Accipiter nisus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1015205.mp3,19.0,22.0,-26.04091551682204,-26.257678500131533,species,Accipiter nisus,Eurasian Sparrowhawk,0.9798746705055237,0.9798746705055237,species,0,,,
