species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
falco_tinnunculus,968289,Falco tinnunculus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/falco_tinnunculus/XC968289.mp3,1.0,4.0,-32.00601949221263,-32.48749150979773,species,Falco tinnunculus,Eurasian Kestrel,0.7963609099388123,0.7963609099388123,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/falco_tinnunculus/XC968289__s1000__e4000.wav,
falco_tinnunculus,968289,Falco tinnunculus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/falco_tinnunculus/XC968289.mp3,4.0,7.0,-24.375367695479504,-32.48749150979773,species,Falco tinnunculus,Eurasian Kestrel,0.32747867703437805,0.32747867703437805,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/falco_tinnunculus/XC968289__s4000__e7000.wav,
falco_tinnunculus,968289,Falco tinnunculus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/falco_tinnunculus/XC968289.mp3,7.0,10.0,-30.545705065994916,-32.48749150979773,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/falco_tinnunculus/XC968289__s7000__e10000.wav,
falco_tinnunculus,590630,Falco tinnunculus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/falco_tinnunculus/XC590630.mp3,4.0,7.0,-24.646039549810048,-29.647806937732444,species,Falco tinnunculus,Eurasian Kestrel,0.9987779259681702,0.9987779259681702,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/falco_tinnunculus/XC590630__s4000__e7000.wav,
falco_tinnunculus,1012109,Falco tinnunculus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/falco_tinnunculus/XC1012109.mp3,7.0,10.0,-31.967327448638848,-32.971964868187726,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/falco_tinnunculus/XC1012109__s7000__e10000.wav,
falco_tinnunculus,1012109,Falco tinnunculus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/falco_tinnunculus/XC1012109.mp3,10.0,13.0,-30.338188122134937,-32.971964868187726,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/falco_tinnunculus/XC1012109__s10000__e13000.wav,
falco_tinnunculus,1012109,Falco tinnunculus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/falco_tinnunculus/XC1012109.mp3,13.0,16.0,-32.175640027064546,-32.971964868187726,species,Falco tinnunculus,Eurasian Kestrel,0.7142947316169739,0.7142947316169739,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/falco_tinnunculus/XC1012109__s13000__e16000.wav,
falco_tinnunculus,1012109,Falco tinnunculus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/falco_tinnunculus/XC1012109.mp3,16.0,19.0,-31.92968032147968,-32.971964868187726,non_bird,,,0.0,0.0,non_bird,0,,,
falco_tinnunculus,1012109,Falco tinnunculus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/falco_tinnunculus/XC1012109.mp3,19.0,22.0,-32.39696696896151,-32.971964868187726,non_bird,,,0.0,0.0,non_bird,0,,,
falco_tinnunculus,1012105,Falco tinnunculus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/falco_tinnunculus/XC1012105.mp3,1.0,4.0,-36.03648415785105,-37.31146648052544,species,Falco tinnunculus,Eurasian Kestrel,0.9051250219345093,0.9051250219345093,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/falco_tinnunculus/XC1012105__s1000__e4000.wav,
